domain,signal,previous_run_id,current_run_id,previous_completed_at,current_completed_at,previous_outcome,current_outcome,previous_value_json,current_value_json,changed
www.cloudflare.com,network.tls_certificate_issuer,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,"""countryName=US, organizationName=Google Trust Services, commonName=WE1""","""countryName=US, organizationName=Google Trust Services, commonName=WE1""",False
www.cloudflare.com,network.tls_certificate_not_after,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,"""Dec 15 14:00:55 2026 GMT""","""Dec 15 14:00:55 2026 GMT""",False
www.cloudflare.com,network.tls_certificate_not_before,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,"""Sep 16 13:01:15 2026 GMT""","""Sep 16 13:01:15 2026 GMT""",False
www.cloudflare.com,network.tls_certificate_verified,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,true,true,False
www.cloudflare.com,network.tls_cipher,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,"{""bits"":256,""name"":""TLS_AES_256_GCM_SHA384"",""protocol"":""TLSv1.3""}","{""bits"":256,""name"":""TLS_AES_256_GCM_SHA384"",""protocol"":""TLSv1.3""}",False
www.cloudflare.com,network.tls_handshake,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,true,true,False
www.cloudflare.com,network.tls_version,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,"""TLSv1.3""","""TLSv1.3""",False
www.cloudflare.com,preservation.archive_blocked,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,skipped,skipped,null,null,False
www.cloudflare.com,preservation.archive_coverage,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,skipped,skipped,null,null,False
www.cloudflare.com,preservation.cache_behavior,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,skipped,skipped,null,null,False
www.cloudflare.com,preservation.cache_header_hints,bff7e036-8707-4951-8b52-0a16516920ca,5ea81fc6-f651-4005-805b-d37ca9ebe64e,2026-09-22T12:50:04.254008+00:00,2026-09-22T12:51:04.388735+00:00,observed,observed,"{""age"":""3"",""cache-control"":""max-age=10"",""cf-cache-status"":""HIT""}","{""age"":""8"",""cache-control"":""max-age=10"",""cf-cache-status"":""HIT""}",True
